name,province_id
ADAMS,1
BACARRA,1
BADOC,1
BANGUI,1
CITY OF BATAC,1
BURGOS,1
CARASI,1
CURRIMAO,1
DINGRAS,1
DUMALNEG,1
BANNA (ESPIRITU),1
LAOAG CITY (Capital),1
MARCOS,1
NUEVA ERA,1
PAGUDPUD,1
PAOAY,1
PASUQUIN,1
PIDDIG,1
PINILI,1
SAN NICOLAS,1
SARRAT,1
SOLSONA,1
VINTAR,1
ALILEM,2
BANAYOYO,2
BANTAY,2
BURGOS,2
CABUGAO,2
CITY OF CANDON,2
CAOAYAN,2
CERVANTES,2
GALIMUYOD,2
GREGORIO DEL PILAR (CONCEPCION),2
LIDLIDDA,2
MAGSINGAL,2
NAGBUKEL,2
NARVACAN,2
QUIRINO (ANGKAKI),2
SALCEDO (BAUGEN),2
SAN EMILIO,2
SAN ESTEBAN,2
SAN ILDEFONSO,2
SAN JUAN (LAPOG),2
SAN VICENTE,2
SANTA,2
SANTA CATALINA,2
SANTA CRUZ,2
SANTA LUCIA,2
SANTA MARIA,2
SANTIAGO,2
SANTO DOMINGO,2
SIGAY,2
SINAIT,2
SUGPON,2
SUYO,2
TAGUDIN,2
CITY OF VIGAN (Capital),2
AGOO,3
ARINGAY,3
BACNOTAN,3
BAGULIN,3
BALAOAN,3
BANGAR,3
BAUANG,3
BURGOS,3
CABA,3
LUNA,3
NAGUILIAN,3
PUGO,3
ROSARIO,3
CITY OF SAN FERNANDO (Capital),3
SAN GABRIEL,3
SAN JUAN,3
SANTO TOMAS,3
SANTOL,3
SUDIPEN,3
TUBAO,3
AGNO,4
AGUILAR,4
CITY OF ALAMINOS,4
ALCALA,4
ANDA,4
ASINGAN,4
BALUNGAO,4
BANI,4
BASISTA,4
BAUTISTA,4
BAYAMBANG,4
BINALONAN,4
BINMALEY,4
BOLINAO,4
BUGALLON,4
BURGOS,4
CALASIAO,4
DAGUPAN CITY,4
DASOL,4
INFANTA,4
LABRADOR,4
LINGAYEN (Capital),4
MABINI,4
MALASIQUI,4
MANAOAG,4
MANGALDAN,4
MANGATAREM,4
MAPANDAN,4
NATIVIDAD,4
POZORRUBIO,4
ROSALES,4
SAN CARLOS CITY,4
SAN FABIAN,4
SAN JACINTO,4
SAN MANUEL,4
SAN NICOLAS,4
SAN QUINTIN,4
SANTA BARBARA,4
SANTA MARIA,4
SANTO TOMAS,4
SISON,4
SUAL,4
TAYUG,4
UMINGAN,4
URBIZTONDO,4
CITY OF URDANETA,4
VILLASIS,4
LAOAC,4
BASCO (Capital),5
ITBAYAT,5
IVANA,5
MAHATAO,5
SABTANG,5
UYUGAN,5
ABULUG,6
ALCALA,6
ALLACAPAN,6
AMULUNG,6
APARRI,6
BAGGAO,6
BALLESTEROS,6
BUGUEY,6
CALAYAN,6
CAMALANIUGAN,6
CLAVERIA,6
ENRILE,6
GATTARAN,6
GONZAGA,6
IGUIG,6
LAL-LO,6
LASAM,6
PAMPLONA,6
PENABLANCA,6
PIAT,6
RIZAL,6
SANCHEZ-MIRA,6
SANTA ANA,6
SANTA PRAXEDES,6
SANTA TERESITA,6
SANTO NINO (FAIRE),6
SOLANA,6
TUAO,6
TUGUEGARAO CITY (Capital),6
ALICIA,7
ANGADANAN,7
AURORA,7
BENITO SOLIVEN,7
BURGOS,7
CABAGAN,7
CABATUAN,7
CITY OF CAUAYAN,7
CORDON,7
DINAPIGUE,7
DIVILACAN,7
ECHAGUE,7
GAMU,7
ILAGAN CITY (Capital),7
JONES,7
LUNA,7
MACONACON,7
DELFIN ALBANO (MAGSAYSAY),7
MALLIG,7
NAGUILIAN,7
PALANAN,7
QUEZON,7
QUIRINO,7
RAMON,7
REINA MERCEDES,7
ROXAS,7
SAN AGUSTIN,7
SAN GUILLERMO,7
SAN ISIDRO,7
SAN MANUEL,7
SAN MARIANO,7
SAN MATEO,7
SAN PABLO,7
SANTA MARIA,7
CITY OF SANTIAGO,7
SANTO TOMAS,7
TUMAUINI,7
AMBAGUIO,8
ARITAO,8
BAGABAG,8
BAMBANG,8
BAYOMBONG (Capital),8
DIADI,8
DUPAX DEL NORTE,8
DUPAX DEL SUR,8
KASIBU,8
KAYAPA,8
QUEZON,8
SANTA FE,8
SOLANO,8
VILLAVERDE,8
ALFONSO CASTANEDA,8
AGLIPAY,9
CABARROGUIS (Capital),9
DIFFUN,9
MADDELA,9
SAGUDAY,9
NAGTIPUNAN,9
ABUCAY,10
BAGAC,10
CITY OF BALANGA (Capital),10
DINALUPIHAN,10
HERMOSA,10
LIMAY,10
MARIVELES,10
MORONG,10
ORANI,10
ORION,10
PILAR,10
SAMAL,10
ANGAT,11
BALAGTAS (BIGAA),11
BALIUAG,11
BOCAUE,11
BULACAN,11
BUSTOS,11
CALUMPIT,11
GUIGUINTO,11
HAGONOY,11
CITY OF MALOLOS (Capital),11
MARILAO,11
CITY OF MEYCAUAYAN,11
NORZAGARAY,11
OBANDO,11
PANDI,11
PAOMBONG,11
PLARIDEL,11
PULILAN,11
SAN ILDEFONSO,11
CITY OF SAN JOSE DEL MONTE,11
SAN MIGUEL,11
SAN RAFAEL,11
SANTA MARIA,11
DONA REMEDIOS TRINIDAD,11
ALIAGA,12
BONGABON,12
CABANATUAN CITY,12
CABIAO,12
CARRANGLAN,12
CUYAPO,12
GABALDON (BITULOK & SABANI),12
CITY OF GAPAN,12
GENERAL MAMERTO NATIVIDAD,12
GENERAL TINIO (PAPAYA),12
GUIMBA,12
JAEN,12
LAUR,12
LICAB,12
LLANERA,12
LUPAO,12
SCIENCE CITY OF MUNOZ,12
NAMPICUAN,12
PALAYAN CITY (Capital),12
PANTABANGAN,12
PENARANDA,12
QUEZON,12
RIZAL,12
SAN ANTONIO,12
SAN ISIDRO,12
SAN JOSE CITY,12
SAN LEONARDO,12
SANTA ROSA,12
SANTO DOMINGO,12
TALAVERA,12
TALUGTUG,12
ZARAGOZA,12
ANGELES CITY,13
APALIT,13
ARAYAT,13
BACOLOR,13
