id,name
2,REGION I (ILOCOS REGION)
3,REGION II (CAGAYAN VALLEY)
4,REGION III (CENTRAL LUZON)
5,REGION IV-A (CALABARZON)
6,REGION IV-B (MIMAROPA)
7,REGION V (BICOL REGION)
8,REGION VI (WESTERN VISAYAS)
9,REGION VII (CENTRAL VISAYAS)
10,REGION VIII (EASTERN VISAYAS)
11,REGION IX (ZAMBOANGA PENINSULA)
12,REGION X (NORTHERN MINDANAO)
13,REGION XI (DAVAO REGION)
14,REGION XII (SOCCSKSARGEN)
15,NATIONAL CAPITAL REGION (NCR)
16,CORDILLERA ADMINISTRATIVE REGION (CAR)
17,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)
18,REGION XIII (Caraga)
